Number,Name,Deployment State,Incident State,Type,Phone1,Phone2,Fax,E-Mail,Address,Note,Project
1024000001,RS0503 / W1A39856,Functional,Operational,Shop,011/411-2600; 011/411-2601; 011/411-2602,,011/411-2605,RS0503hmdeltacitybeograd@gmail.com,Jurija Gagarina 16,,115
1024000002,RS0504 / W1A39862,Functional,Operational,Shop,011/411-2611; 011/411-2610; 011/411-2612,,011/411-2615,RS0504hmvozdovacbeograd@gmail.com,Zaplanjska 32,,115
1024000003,RS0505 / W1A84242,Functional,Operational,Shop,021/310-1900; 021/310-1901; 021/319-1902,,021/319-1904,RS0505hmnovisadbig@gmail.com,Sentandrejski put 11,,115
1024000004,7252 - Cortefiel Usce,Retired,Operational,Shop,011 / 312-10-21,,,tien7252@cortefiel.com,Bulevar Mihajla Pupina 4,,107
1024000005,7253 - Springfield Kraljevo,Functional,Operational,Shop,036/321-640; 036/332-091,,,tien7253@spf.com,Milosa Velikog 22,,107
1024000006,Idea 425 Subotica 1,Functional,Operational,Shop,,,,idea425msubotica@gmail.com,Partizanskih Baza 30D,,112
1024000007,7254 - Springfield Sarajevo,Functional,Operational,Shop,+387 33 555-736,,,tien7254@spf.com,Sime Milutinovica 12,,107
1024000008,7255 - Springfield Sarajevo BBI Center,Functional,Operational,Shop,+387 33 212-486,,,tien7255@spf.com,Trg Djece Sarajeva 1,,107
1024000009,7256 - Springfield Banja Luka,Functional,Operational,Shop,+387 51 211-988; +387 51 230-891,,,tien7256@spf.com,Veselina Maslese 12,,107
1024000010,9773- Springfield Tuzla Mercator Center,Functional,Operational,Shop,+387 35 279-291,,,tien9773@spf.com,Korpusa Armije BiH bb,,107
1024000011,7258 - Springfield Zenica Mall,Functional,Operational,Shop,+387 32 201-550,,,tien7258@spf.com,Kamberovica polje bb,,107
1024000012,7259 - Springfield Terazije,Functional,Operational,Shop,011 / 362-29-98; 011 / 362-29-99,,,tien7259@spf.com,Terazije 4,,107
1024000013,7260 - Springfield Usce,Functional,Operational,Shop,011 / 312-10-19,,,tien7260@spf.com,Bulevar Mihajla Pupina 4,,107
1024000014,7261 - Springfield BG Mercator Centar,Functional,Operational,Shop,011 / 313-00-36; 011 / 312-16-60,,,tien7261@spf.com,Bulevar Umetnosti 4,,107
